commpany_Name,experience_length,experience_level,job_tittle,minimum_qualification,pay,requirements,responsibilities,sector
Ascentech Services Ltd.,1 year,Entry level,Junior Pharmacist,Degree,"75,000 - 150,000","Candidates should possess a B. Pharm Degree,Minimum of 1 year of pharmacy experience,Should possess excellent communication and Customer service Skills,Highly motivated, Efficient, and Success driven.,Proximity to the pharmacy location is an added advantage.,Good team player,Interpersonal relations.","Counseling patients on health/drug-related issues with consequent recommendations within professional ethics.,Filling prescriptions after ascertaining the correctness and ensuring rational use of drugs. Keep records in all necessary books,Vet and fill the stock requisition forms (LPO) and submit same to procurement/Store,No over/under-stocking of products at the branches. Achieve optimal stock levels based on sales trends.,Present bi-weekly branch performance report.,Receive and verify the quality, quantity, expiry dates, and physical condition of drugs supplied. Sign transfer and receiving notes and return same to head office,Achieve daily and monthly sales objectives and targets for your branch,Ensure products are properly displayed on shelves and are kept clean, free from dust, dirt, and grease and packs remain wholesome. Shelves should be kept clean. Ensure the cleaning of the Pharmacy Section.,Sales of products to customers are to be done on the principle of first in first out or based on their expiring dates.,Notify the Chief Pharmacist and Procurement Manager of near-expiring items (within 3-6 months) for necessary action.,Carry out periodic stock counts in your branch.,Proficient in PowerPoint.,And any other duty(ies) that may be assigned.",Medical & Pharmaceutical
Exagon pharm ltd,No Experience/Less than 1 year,Entry level,Medical Representative,Degree,,"Academic qualification of BSC in Pharmacology or Biological Sciences,0 - 2 years of working experience,Good understanding of entrepreneurial and commercial objectives,Knowledge of sales strategies and concepts,Good understanding of developing sales reports","Promotes/sells/secures orders from existing and prospective customers through a relationship-based approach to ensure monthly sales target is met.,Establishes, develops and maintains business relationships with current customers and prospective customers in the assigned territory/market segment to generate new business for the organization’s products/services.,Makes telephone calls and in-person visits and presentations to existing and prospective customers.,Expedites the resolution of customer problems and complaints.,Coordinates sales effort with marketing, sales management, accounting, logistics and technical service groups.,Plans and organizes personal sales strategy by maximizing the Return on Time Investment for the territory/segment.,Supplies management with oral and written reports on customer needs, problems, interests, competitive activities, and potential for products.,Reporting market conditions, competitive activities, advertising and promotional trends in assigned territory.,Maintain a reliable, up-to-date customer record system as per the Sales Procedure Manual,Maintain records of new customers, deleted customers and changes to call cycles to ensure cost effective coverage of the territory,Ensure monthly sales targets, new account targets, key product targets and payment targets are achieved.",Sales
CHRIST POWERHOUSE LIBERATION MINISTRY,2 years,Mid level,Executive Secretary,HND,"75,000 - 150,000","Minimum academic qualification of OND/HND/BSc in any related Business Administration ,Proactive problem solver with exceptional communication skills and meticulous attention to detail, who also have,Excellent MS Office knowledge.","Attend meetings and keep minutes,Receive and screen phone calls and redirect them when appropriate,Handle and prioritize all outgoing or incoming correspondence (e-mail, letters, packages, etc.),Make travel arrangements for executives,Handle confidential documents ensuring they remain secure",Admin & Office
Neutratech Nigeria,1 year,Mid level,Sales Executive,Degree,"150,000 - 250,000","Minimum academic qualification of a Bachelor's Degree from a Tertiary institution,1 - 3 years work experience.,Must have good written and oral communication skills,Age range: 22 - 35 (may vary).","Set up meetings with potential clients, listen to their wishes and concern.,Participate on behalf of the company in exhibitions or conferences.,Negotiate/close deals and handle complaints or objections.,Collaborate with team members to achieve better results.,Gather feedback from customers or prospects and share it with the internal team.",Sales
BashleeNG,2 years,Mid level,Accountant,Degree,"75,000 - 150,000","Bachelor's degree in Accounting, Finance, or a related field,Professional certification ICAN is compulsory,Minimum of 2 years work experience as an Accountant,Strong knowledge of accounting principles and practices,Proficiency in accounting software and MS Excel,Attention to detail and accuracy in financial record-keeping,Excellent analytical and problem-solving skills,Ability to work independently and as part of a team,Good communication and interpersonal skills.","Manage all aspects of the financial records and transactions of the company,Prepare financial statements, reports, and budgets,Analyze financial data and perform financial forecasting,Conduct audits to ensure accuracy and compliance with regulations,Manage accounts payable and accounts receivable processes,Ensure timely and accurate processing of payroll,Monitor and control expenses to ensure efficient financial management,Prepare and submit tax returns, ensuring compliance with tax regulations,Provide financial analysis and advice to management,Assist in the preparation of financial reports for external stakeholders,Stay updated with relevant financial regulations and best practices","Accounting, Auditing & Finance"
Bantupage Ltd.,3 years,Mid level,Social Media Manager,Others,"75,000 - 150,000","Minimum of 3 years of work experience in video/photos/skits/YouTube/social media editing.,High command of the English language.,Willing to come to work every day.,Flexible and ready for an immediate start.,Be willing to undergo a week's trial.,Ideally, own a laptop and a smartphone.,Some knowledge of social media.,Have a good understanding of countries, international affairs, and geopolitics.,Ideally, have some creative writing skills.","Create content and skits from videos and photos.,Edit and proofread  written piece before publication,Conduct keyword research and use SEO guidelines to optimize content",Marketing & Communications
Goldtech computer academy,2 years,Mid level,Advanced Microsoft Excel Tutor,Degree,"75,000 - 150,000","Proven experience tutoring students in advanced Excel skills.,Strong understanding of Microsoft Excel, including its advanced features and functions.,Excellent communication and interpersonal skills.,Ability to create and deliver engaging and effective online or in-person presentations.,Ability to work independently and as part of a team.","Develop and deliver engaging and effective Excel tutoring sessions to students of all levels.,Assess students' learning needs and tailor instruction accordingly.,Provide personalized feedback and support to help students achieve their Excel goals.,Stay up-to-date on the latest Excel features and trends.,Contribute to the development of our Excel tutoring curriculum.",Admin & Office
Eyemasters Limited,2 years,Entry level,Sales Officer,Degree,"75,000 - 150,000","Minimum academic qualification of Bachelor's degree in any related course. ,Post NYSC Experience,Minimum of 2 years working experience,Must have negotiating skills ,Time Management,Business Acumen  ,Flexibly  ,Interpersonal skills & ability to build rapport with client, Continuous follow-ups with multiple collaborations,Ability to identify potential leads ,Good people management and team building skills,Analytical and problem-solving skills,Effective verbal and listening communications skills,Very effective organizational decision-making skills,Effective written and oral communications skills,Computer skills including e-mail, Excel, Power point and word processing programs at a highly proficient level.","Overseeing sales, promotions and campaigns,Directing and coordinating all sales activities,Tracking and analyzing sales statistics based on key quantitative metrics,Handling and resolving customer complaints regarding a product or service,Advising distributors and dealers on SOPs,Serving as the face of the organization,Maintaining relationships with key clients,Identifying emerging markets to find new sales opportunities,Submitting of sales report periodically.",Sales
Bantupage Ltd.,2 years,Mid level,Writer/Researcher,Others,"75,000 - 150,000","Minimum of 2 years of proven work experience.,Excellent interpersonal and people skills.,Must be a Lagos resident.,Some traveling may come in handy when we have documentaries and other short films involving leaving the office or even traveling at the company's expense.,Knowledge of video editing tools would be ideal but not required.,A working understanding of Microsoft Office","Research on religion and other belief systems.,Topics may sometimes be provided to you.,You should have a good knowledge of referencing, preferably APA.,Write articles for the company's website as requested.,Study the company's various social media platforms and see where to improve.,Proofread already-posted content to see where possible mistakes may have occurred.,Keep up-to-date with current affairs in Nigeria and around the world to create content and captions for our various social media platforms.,Constantly digging into stories that may be suitable for our company.","Research, Teaching & Training"
Goldtech computer academy,2 years,Mid level,Data Science Tutor/Instructor,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree in computer science, statistics, or information systems.,Excellent communication skills, both written and verbal.,Immediate availability to commence work.,Proficiency in Python and experience with the Python Data Science ecosystem (pandas, numpy, scikit-learn, etc.).,Strong subject-matter expertise in Data Science, with a broad awareness of practices and in-depth knowledge of at least a few subtopics.,Experience in teaching and/or curriculum design.,Comfortable and compelling in public speaking situations.,Ability to work effectively with a diverse group of individuals.,Self-starting with the ability to work autonomously with little oversight.","Conduct engaging and effective data analysis training sessions for students.,Utilize the latest industry curriculum to ensure students receive up-to-date and relevant knowledge.,Foster a positive and inclusive learning environment.,Provide support and guidance to students to enhance their understanding of data science concepts.",Software & Data
Eyemasters Limited,2 years,Entry level,Tax/Utility Officer,Degree,"75,000 - 150,000","Minimum academic qualification of BSc in taxation or accounting or any other relevant field ,Experience using tax preparation software and applications ,Strong analytical and problem-solving skills. ,Good communication skills,Advanced MS Excel and knowledge on MS word,Ability to prioritize and manage time effectively. ,Strong attention to detail and good analytical skills ,Good management people skills ,Attention to detail for ensuring the accuracy of a company’s records and invoices.","Tax management and regulatory compliance of tax reporting and returns,Support with the development and implementation of tax strategy,Review tax returns and quarterly and yearly tax projections. ,Implement effective tax planning strategies and ensure full compliance with relevant tax authority.,Ensure complete documentation of relevant supports and proof of tax remittance. ,Develop and maintain relationships with appropriate personnel in relevant tax authorities. ,Works with external auditor in ensuring that the Auditor's reports and prepared timely and in line with standards. ,In charge of procurements of equipment and installation across branches ,Assist with setting up of new branches and subsidiaries ,Facility management of all Eyemasters branches and its subsidiaries.,Carry out all logistics and outsourcing,Supplies stock to all branches ,Stock frames and drugs on the manager software ,Assist in procurement of stocks as required ,Prepare weekly, monthly, quarterly and yearly report as requested by management,Engage in all other duties assigned from time to time.","Accounting, Auditing & Finance"
Maple Education Canada Inc,5 years,Senior level,Business Development Manager,Degree,"400,000 - 600,000","A
bachelor's degree in Business Administration, Marketing, and Finance or a
related field is preferred.,Master’s
degree in Business Administration or Marketing and/or professional
qualification in marketing will be a strong advantage.,Minimum
7 years of proven experience in sales or business development is
highly valuable.,Good
Knowledge of CRM practices and systems. ,Excellent
verbal and written communication skills, with a good command of English.,Strong
organizational, multitasking time management, and target-achieving skills.,Proficiency
in using productivity software, including Microsoft Office Suite (Word,
Excel, PowerPoint, Outlook) and CRM.,Problem-solving
skills and the leadership ability to think critically in complex
situations.,Excellent
selling, communication, negotiation, and networking skills.,Must
be able to prepare reports and Correspondence.,Good
initiative, time, and stress management skills.,A
proactive and adaptable attitude, with a willingness to take on new
challenges and work independently.,Good-oriented
attitude with professionalism and a friendly demeanor in dealing
with colleagues and clients.","Will
report to the board of directors.,Analyze
market conditions and identify potential target markets and client
segments.,Actively
seek out and develop new business opportunities through various channels
such as networking, referrals, and cold calling.,Build
and maintain strong relationships with existing clients, ensuring their
needs are met and promptly addressing any concerns or inquiries.,Present
citizenship by investment programs to potential clients, guiding them
through the process and addressing their questions and concerns. Close
sales and achieve revenue targets.,Prepare
customized proposals and presentations for potential clients, highlighting
the benefits and advantages of citizenship by investment programs.,Identify
opportunities for expanding the company services into new markets or
regions and develop strategies to enter those markets
successfully.,Stay
informed about the legal and regulatory requirements related to
citizenship by investment programs in various countries and
ensure the company services adhere to these regulations.,Maintain
accurate records of sales activities, leads, and conversions. Provide
regular reports to management on sales performance and market
insights.,Educate
clients about the benefits, risks, and requirements of citizenship by
investment programs, ensuring they have a clear understanding of
the process.,Attend
industry events, conferences, and trade shows to build a professional
network and establish the company as a reputable player in the field.,Gather
feedback from clients to continuously improve services and tailor
offerings to meet client needs.,Collaborate
with other departments to ensure a seamless client experience and
successful program execution.,Drive
the end-to-end sales process, prepare and submit sales contracts.,In
addition to the above, other responsibilities or duties may be assigned to
you from time to time.",Management & Business Development
Jobberman (Third Party Recruitment),10 years,Executive level,General Manager,Degree,"600,000 - 900,000","Drive club vision and execute in alignment with strategic directions to achieve desired results.,Expand bar and catering activities with automation that is beyond today and tomorrow.,Identify and position human resources to optimize service delivery.,Focus energy on what works to drive operational excellence across every section.,Communicate the Club’s vision and values, by visibly supporting and implementing policy.,Demonstrate high standards of ethics and integrity with members, guests, and staff.,Establish high performance standards and appropriately incentivize staff for consistent excellent results.,Institutionalize a service culture among all staff that meets international standards.,Implement models for measuring and improving service standards across all sections of the club.,Deploy resources using the manpower audit as benchmark for realignment and productivity restructuring.,Drive employees towards being best in class for engagement, supervision and thereby value delivery.,Ensure recruitment is competency-based which follows global hospitality culture and attributes.","Support Management Council in all strategic planning efforts.,Drive the conversion of at least 10% of inactive members to active fee-paying members through service delivery.,Operate the club within the required government regulations, club rules and overall Management Council policies.,Maintain effective oversight in all service touch points of the Club.,Provide strategic direction and oversight to supervisors to drive Club’s sustainable service.,Ensure optimum service and comfort of members and their guests, while upholding the rules of the club.,Drive compliance with club (administrative and sporting) standards on Health, Safety, Environment.,Ability to analyze the Nigerian hospitality market, explore opportunities and implement strategies.,Demonstrable excellent presentation, business writing and communication skills.,Ability to anticipate and handle members’ complaints.,Proactive, go-getter and strong commitment to service excellence,Very good resource (human and material) management skills and strong critical thinking/problem solving skills.,Drive exceptional membership experience with great ambience, hospitality, maintenance and service operations.",Management & Business Development
Prudential Estates Investors Network,3 years,Mid level,Digital Marketer,OND,"250,000 - 400,000","Minimum academic qualification of OND/HND in any related discipline ,Minimum of 3 years of proven work experience ,Analytical
prowess: Metrics are your friends and guides.,Stellar
communication: You gel seamlessly with diverse teams.,Creativity:
You think out of the box and craft innovative content.,Problem-solving:
Challenges? What challenges?,Self-driven: A proactive, results-oriented approach is in your DNA.,Adaptability:
Riding the digital marketing waves with grace.,Detail-focused:
Perfection is your middle name.,Always
Learning: Industry trends? You’re on it.,Lead
Generation: Turning strategy into tangible results.","Drive
our inbound leads generation to help support our Marketing Contact
Centre and Field Sales.,Develop
robust digital strategies tailored to our target audience and
business objectives.,Amplify
our brand on social media, crafting campaigns that resonate and
engage.,Become
our Google Ads guru, using keyword research to magnetize leads.,Drive
deep into analytics, assessing the success of our campaigns and
pivoting for maximum ROI.,Engineer
landing pages that don’t just attract... they CONVERT.,Enrich
our audience with compelling content – both visual and written.,Take
charge of our e-mail marketing, ensuring every email is a delightful
click for our UK audience.,Identify
appropriate target audiences and tailor content across brands to
maximize reach and engagement.,A/B
tests like a pro, always seeking that next level of perfection.,Track
and analyze leads from online campaigns, serving up insights like a
digital maestro",Marketing & Communications
Silverbird Group,1 year,Entry level,Pageant Event Content Strategist,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree in any related discipline ,Minimum of 1 year of proven work experience,Excellent interpersonal and people skills,Proficiency in using collaboration and productivity tools","Develop and implement a comprehensive content strategy for pageant events, ensuring alignment with brand goals and objectives.,Collaborate with event organizers, creative teams, and sponsors to create compelling and engaging content.,Craft and manage content calendars, ensuring timely materials delivery for pre-event promotion and post-event coverage.,Manage and maintain the organization's digital platforms, including website and social media accounts.,Analyze content performance metrics and adjust strategies for optimization.",Marketing & Communications
Jobberman (Third Party Recruitment),3 years,Mid level,Commercial/ Business Development Manager,Degree,,"Minimum academic qualification of BSc/BA in business administration, marketing, communications or relevant field; MSc/MA will be a plus,Demonstrable experience in developing efficient strategies and business plans for all marketing aspects (branding, product promotion etc.),Solid understanding of market research and data analysis methods,Ability to apply marketing techniques over digital (e.g. social media) and non-digital (e.g. press) channels,Understanding of Aviation or Oil and gas industry will be an advantage,Proficient in MS Office. PowerPoint and business software (e.g. CRM),A leader with both creative and analytical capabilities,Outstanding communication (written and verbal) and interpersonal abilities.","""Listen"" to the trends of the market and direct the market research efforts of the company,Liaise with other departments to guide a unified approach to customer service, distribution, etc. that meets market demands,Define marketing strategies to support the company’s overall strategies and objectives,Develop a feasible marketing plan for the department and oversee its day-to-day implementation,Plan and organize marketing functions and operations (product development, branding, communications, etc.), and ensure they project the company’s unique “image”,Design and coordinate promotional campaigns, PR and other marketing efforts across channels (digital, press etc.),Build a highly efficient team of marketing professionals,Create a solid network of strategic partnerships,Set marketing goals and objectives,Plan, implement and manage marketing strategy,Contribute to the overall growth of the company,Review and manage content marketing strategy,Work with sales and development and customer success teams,Create and present the annual marketing plan and strategy,Use data and reports to make evidence-based decisions,Analyze company's marketing strategy and suggest improvements,Stay up to date with the latest technology,Stay up to date with the latest best practices,Attend marketing conferences. Trade Fairs and educational programs,Design, plan and execute effective marketing campaigns.",Management & Business Development
Critical Rescue International Limited,3 years,Mid level,Business Development Officer,Degree,"250,000 - 400,000","Bachelor's degree in Business Administration, Marketing, or a related field.,Proven experience in business development, preferably in the healthcare sector.,Strong analytical and strategic thinking skills.,Excellent communication and interpersonal skills.,Proficient IT skills,Proven track record of achieving business targets and driving revenue growth.","Develop and implement strategic business development plans to expand the clinic's presence and increase revenue.,Identify and pursue new business opportunities through market research, competitor analysis, and industry trends.,Build and maintain strong relationships with key stakeholders, including healthcare professionals, corporate partners, and community organizations.,Collaborate with internal teams to create and implement effective marketing strategies.,Lead the development and execution of promotional activities and events to enhance brand visibility.,Conduct regular market analysis to identify emerging opportunities and threats.",Management & Business Development
Critical Rescue International Limited,3 years,Mid level,Membership & Client Experience Officer,Degree,"250,000 - 400,000","Bachelor's degree in Business Administration, Marketing, or a related field.,Proven experience in membership management or client relations, preferably in the healthcare sector.,Exceptional communication and interpersonal skills.,Strong organizational and project management abilities,Passion for delivering exceptional client experiences.","Develop and implement strategies to attract new members, retain existing ones, and drive the overall growth of our membership program.,Cultivate and maintain strong relationships with members, ensuring a seamless and positive experience throughout their journey with the clinic,Design and execute initiatives to enhance member engagement, including exclusive events, special promotions, and personalized communications,Stay informed about industry trends, client preferences, and competitor offerings to continuously improve and innovate our membership program.,Gather client feedback, analyze data, and collaborate with internal teams to implement improvements that enhance the overall client experience.",Quality Control & Assurance
Silverbird Group,3 years,Mid level,News Anchor/Correspondent/Presenter,Degree,"150,000 - 250,000","BSc degree in journalism, communications, or relevant field,Minimum of 3 years of proven work experience as a news anchor,Understanding of the newscast process,Broad knowledge of local, national, and international affairs (e.g. political, economic, legislative, and cultural),Comfortable yet professional presence on camera,Ability to improvise in a live on-camera setting,Excellent verbal skills,Effective communication and interpersonal skills,Available to work on a flexible schedule,Ability to work under stressful conditions and strict deadlines,Active social media presence","Present daily tech news broadcasts with a focus on clear and concise communication.,Conduct on-the-ground reporting on tech industry events, product launches, and innovations.,Gather information through interviews, research, and firsthand observations.,Write and submit compelling reports for broadcast or publication, focusing on tech-related content.,Collaborate with producers and editors to develop engaging and informative tech-related news content.,Conduct interviews with tech industry experts, innovators, and thought leaders.,Stay informed about the latest developments in the tech industry.,Conduct live interviews with tech experts and industry leaders.,Write and edit tech news scripts for on-air delivery.,Stay updated on the latest tech trends, innovations, and industry developments.",Marketing & Communications
HARLEM Solicitors,3 years,Mid level,Executive HR,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's Degree in Business, Administration, Finance, Management with CIPM, CIPD etc. ,Willingness to undertake a diverse and challenging roles with the HARLEM Solicitors' project team,Strong communicator both in person and via emails, correspondence, documents and social media platforms,Minimum of three (3) years' relevant work experience in finance and Human Resources in reputable organizations/firms,Be adroit in IT skills (including PowerPoint, Excel, Word, while proficiency in CorelDraw and ability to use a MacBook is an advantage);,Be irrevocably committed to HARLEM Solicitors' values;,Proactive, innovative.","Monitor employee performance to ensure that firm's goals are consistently met.,Resolve employee conflicts by investigating the cause of conflict and making recommendations for resolution.,Work in tandem with paralegals and attorneys to create policies, procedures and training materials for employees on topics like sexual harassment or discrimination in the workplace.,Create training programs that meet corporate objectives while also building employee skills.,Conduct exit interviews with employees who leave the firm to learn why they are leaving and how to improve retention rates.,Review resumes and interviewing candidates for positions within the firm, including shortlist of applicants for internships.,Review HARLEM Employee Policy Manual to ensure that all employees understand HARLEM's guidelines on topics such as emails, working hours, and leave time.,Recruit candidates, screening applicants, and conducting interviews to fill job openings,Administer employee benefits programs including insurance, retirement savings plans, and paid leave time for illness or vacation.",Admin & Office
Equitable Partners Limited,5 years,Senior level,"Head, Credit and Marketing",Degree,"250,000 - 400,000","Minimum academic qualification of a Bachelor's degree in any discipline,Minimum of  5 years working experience. ","Marketing of financial products, loans and advances.  ,Equipment Leasing ,Contract Finance,SME and Business Loans.,Credit Control and Management.",Marketing & Communications
YOG African Company,1 year,Entry level,Marketer,HND,"Less than 75,000","Minimum academic qualification of an HND in marketing,Minimum of 1 year of proven work experience,Excellent interpersonal and people skills,Proficiency in using collaboration and productivity tools","Meeting new and old clients,To make sure the monthly sales target is achieved.,This position is preferably open to a male candidate ,Minimum academic qualification of B.Sc in marketing or any related field.,He must be very ready to work under pressure.,Any interested person should send their CV to the mail below using the job title and location as a subject.",Sales
Qelifox Unatarmit Service,1 year,Executive level,Cardiologist,HND,"250,000 - 400,000","Bachelor's degree, usually in a science-related field. ,Doctor of Medicine (M.D.) or Doctor of Osteopathic Medicine (D.O.) degree.,Proven work experience as a Cardiologist or similar role,Exceptional attention to detail to ensure patients receive proper care,Outstanding hand-eye coordination to conduct surgical procedures,Wonderful bedside manner to deliver great patient care,Excellent communication skills and the ability to empathize with patients","Diagnosis: Cardiologists are trained to evaluate and diagnose various heart conditions. They use a combination of patient history, physical examinations, and diagnostic tests such as electrocardiograms (ECGs), echocardiograms, stress tests, and cardiac catheterization to assess the function and structure of the heart.,Treatment: Once a diagnosis is made, cardiologists develop and implement treatment plans tailored to each patient's specific condition. They may prescribe medications, recommend lifestyle modifications (such as diet and exercise), or perform invasive procedures like angioplasty, stenting, or cardiac surgery to treat heart diseases.,Perform tests when needed to check the health of patients’ hearts and/or cardiovascular systems,Interpret test results to determine how effectively the heart and/or cardiovascular system is functioning,Use medical imaging equipment, such as CT and MRI scanners, to diagnose and treat heart and/or cardiovascular conditions,Assist and/or perform surgery which may include complex surgical interventions that require a team of medical professionals,Prescribe medication to treat heart and/or cardiovascular disease",Hospitality & Leisure
Ubuy Services,2 years,Mid level,Office Assistant,OND,"Less than 75,000","OND in any related discipline ,Proven experience as an Office Administrator, Administrative Assistant, or similar role.,Strong organizational and multitasking abilities.,Excellent communication and interpersonal skills.,Proficiency in MS Office (Word, Excel, PowerPoint, Outlook).,Ability to work independently and collaboratively in a team.,Attention to detail and problem-solving skills.,Knowledge of office management systems and procedures.","Manage office operations and coordinate administrative tasks.,Handle incoming calls, emails, and inquiries with professionalism.,Maintain organized filing systems and records.,Assist in scheduling appointments, meetings, and travel arrangements.,Handle office supplies procurement and inventory management.,Maintain confidentiality and handle sensitive information with discretion.,Perform general clerical duties such as photocopying, scanning, and data entry.,Ensure a clean and organized office environment.",Admin & Office
Jemi Neil Consulting,3 years,Mid level,Deposit Mobilisation Executive (BDE),Degree,"250,000 - 400,000","Minimum academic qualification of a Bachelor's degree in Banking & Finance, Marketing, and any other related course,Minimum of 3 years of proven work experience,Strong communication and presenting skills.,A confident personality with strong analytical and problem-solving abilities.,High computer literacy.,Strong interpersonal and analytical skills.,Good written and oral communication.,Attention to detail.,Assertive, persuasive, and self-driven.,Proficiency in using collaboration and productivity tools","Actively seek out new liability-generating opportunities through cold calling, networking, and sourcing referrals.,Develop and expand the treasury marketing volume by presenting strategies/ideas tailored to all or specific customer needs,Provide financial advice to clients and the most suitable investment options that help them achieve their financial goals.,Stay abreast of the activities of the competition and aim to always strengthen the Company’s competitive advantage.,Update customers on changes in rates and encourage customers to take advantage of the Company’s offerings/promotions towards fulfilling their financial goals.,Stay abreast of trends in digital financial products and highlight developments that may be of benefit to the Company.,Gather and contribute market intelligence that will aid the enhancement of the Company’s products and services.,Conduct frequent engagement with clients to determine the level of satisfaction with the Company’s products and services and obtain recommendations for improvement.,Maintain total awareness of the Company’s investment policies and ensure all prospective sales conform to policy.,Maintain awareness of regulatory laws and rules that impact the conduct of the Company’s business.,Participate in monthly performance reviews and present your own results and accomplishments.,Any other duties as may be required by the company’s management",Sales
Jemi Neil Consulting,2 years,Mid level,Shop Manager,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree in any related discipline ,Minimum of 2 years of proven work experience,Excellent interpersonal and people skills,Proficiency in using collaboration and productivity tools","Support the Coordination of daily front and backend operations of the outlet.,Supervising staff and area to ensure customer satisfaction within outlets,Assisting shop Manager in ensuring assigned outlet represents the brand in the way that it is supposed to,Requesting inventory and ensuring branches have all materials they need.,Coordination of laundry to ensure uniforms are clean and available as and when needed,Delivering superior service and maximizing customer satisfaction",Customer Service & Support
Center for Advanced Specialty Surgery,5 years,Mid level,Administrative Manager,Degree,"150,000 - 250,000",,,Admin & Office
GENESIS ENERGY,7 years,Senior level,Corporate Finance Manager,MBA / MSc,"600,000 - 900,000","Minimum academic qualification of Bachelor's degree,Master's degree is preferred,At least 7 years of working experience","Carry out periodic appraisals, reviews and analysis of the financial performance of all    OPCOs (subsidiaries within the group),Report on financial performance of the Business and Subsidiaries (P&L, Bal. sheet etc),Oversee individual Company’s transaction processing systems and establish and implement the financial procedures and operational best practices.,Ensure cash flow is appropriate for the each Opco’s operations,Budgeting and forecasting.,Dealing with working capital management and production of cash flow forecasts for OPCO’s,Advising on investment activities and provide strategies that the company should take,Responsible for managing investments. This includes portfolio management, asset allocation, and risk management.,Conduct investment analysis to ascertain viability of prospective business.,Business enterprise valuations and financial performance restructuring ,Corporate finance of cash-flow leveraging, debt instruments (commercial papers, ODs, direct loans etc),Manage the budgeting & reforecast processes, implement budget control   ,Develop performance measures that support the company's strategic direction,Conduct thorough analyses and risk assessments of new investments,Review the management regulation and procedure of the company,Understand and mitigate key elements of the company's risk profile,Construct and monitor reliable control systems,Maintain appropriate insurance coverage for the organization,Payroll Managements,Statutory remittances and compliances,Any other duties assigned.","Accounting, Auditing & Finance"
Basscent Global,No Experience/Less than 1 year,No Experience,POS Attendant,High School (S.S.C.E),"Less than 75,000",Mondays - Saturdays 10 am - 9 pm,"This position is preferably open to a female candidate,Minimum academic qualification of SSCE,Excellent interpersonal and people skills,Ability to work under pressure",Trades & Services
African Naturalistas,1 year,Entry level,Learning Administrator,Degree,"75,000 - 150,000","Minimum of OND / HND / B.Sc qualification.,A minimum of 1 year of work experience.,Computer literate,Excellent communication skills,Excellent writing skills,Good understanding of Learning Management Systems.,Knowledge of WordPress.,Lively to manage membership Interactions.,Knowledge of Hair Care will be an advantage, but not compulsory,An Education Degree or experience will be an advantage,Ability to use WordPress, page builder plugins such as Elementor, create sales and conversion landing pages, etc,Ability to manage newsletter communications, using newsletter tools, such as MailChimp,Ability to create simple designs, using tools such as Canva,Ability to do content marketing, using skills such as storytelling and showcasing services benefits.,Ability to write high-converting marketing emails and email subjects","Curate Quizzes for The Good Hair Tribe for Videos on our Learning Management System,Organize Teaching Materials in PDF Format, for visual learners.,Build and Organize Lead Database.,Manage the Community Experience of members.,Manage Learning Events and projects, such as virtual classes and webinars.",Engineering & Technology
BashleeNG,2 years,Entry level,Call Center Agent,HND,"75,000 - 150,000","Minimum of HND degree.,Minimum of 2 years of prior experience in customer service or call center environment,Excellent communication and interpersonal skills,Strong problem-solving and decision-making abilities,Ability to remain calm and professional in stressful situations,Good typing and computer skills,Ability to multitask and manage time effectively,Familiarity with CRM software is a plus,The ability to speak multiple languages is an advantage","Responding to inbound calls and answering customer queries in a professional and courteous manner,Providing accurate information about products, services, and company policies to customers,Resolving customer complaints, issues, and concerns promptly,Escalating complex issues to the appropriate department or supervisor,Updating customer records and maintaining accurate documentation of interactions,Maintaining a high level of product knowledge to effectively assist customers,Upselling products and services to maximize sales opportunities,Meeting or exceeding individual and team performance targets,Adhering to all company policies and procedures",Customer Service & Support
,3 years,Mid level,Marketing Manager,Degree,,"Bachelor’s degree, with a focus on marketing.,Minimum of 3 years of experience working in media/sports marketing,Minimum of 2 years of experience in digital media/sports marketing,Multiple years experience working in the sports betting industry,Passion for sports, casino and sports betting in general,Avid consumer of media,Interest in the changing landscape of sports media and gambling legislation countrywide,Experience in social media marketing,Experience in acquisition marketing,Has led marketing projects that include but are not limited to:,Category analysis,Audience analysis,Competitive Analysis,SWOT Analysis,Launching of brands,Comfortable analyzing data in collaboration with research and business development teams","The Marketing Manager will be responsible for following the lead of the sports betting product marketing Directors – aiding in abiding and developing the marketing strategies and campaigns that support these products.,Will work closely with the sports betting and casino product teams to lead the development of a yearlong marketing strategy and plan that drives players to our games and bettors to our sports betting initiatives.,Will aid in the creation of the vision, lay out the objectives, and lead the execution of marketing plans that support our Casino and betting products,Will lead day-to-day collaboration in our creative agency in developing the positioning and creative campaigns that launch and support the brand,Will lead collaboration with external partners to understand best practices for user acquisition and retention of customers.,Will aid and develop a marketing plans that moves customers within the sports and casino betting ecosystem,Will lead work with internal groups to gain executive alignment and educate the company about our plans and campaigns,Will work closely with other teams to align messaging and timing of marketing campaigns in the press (both trade and consumer),Will support the team that focuses on Casino and Betting as their primary focus.",Marketing & Communications
